Elevational_Bands,ETPcode,Seasons,Regions,meanElevation,G_spoc,HT_spoc,PS_spoc,SUMoccurrence,G_prop,HT_prop,PS_prop,AminoAcid_reluse,CHO_reluse,CHOAminoAcid_reluse,H2O_reluse,Lipid_reluse,NaCl_reluse,MAXoccurrence,AminoAcid_spoc,CHO_spoc,CHOAminoAcid_spoc,H2O_spoc,Lipid_spoc,NaCl_spoc
200,200_1,Dry,Papua New Guinea,216.030303030303,15,0,5,20,0.75,0,0.25,0.142857142857143,1,0.428571428571429,0.285714285714286,0.714285714285714,0.285714285714286,7,1,7,3,2,5,2
200,200_1,Wet,Papua New Guinea,215.468085106383,36,0,5,41,0.878048780487805,0,0.121951219512195,0.5,0.4,0.6,0.7,0.9,1,10,5,4,6,7,9,10
200,200_2,Dry,Papua New Guinea,248.594594594595,19,0,8,27,0.703703703703704,0,0.296296296296296,0.428571428571429,0.714285714285714,0.857142857142857,0.285714285714286,0.571428571428571,1,7,3,5,6,2,4,7
200,200_2,Wet,Papua New Guinea,247.878048780488,30,0,5,35,0.857142857142857,0,0.142857142857143,0.75,0.875,1,0,1,0.75,8,6,7,8,0,8,6
700,700_1,Dry,Papua New Guinea,716.41935483871,2,3,5,10,0.2,0.3,0.5,0,1,0,0.2,0.8,0,5,0,5,0,1,4,0
700,700_1,Wet,Papua New Guinea,712.302325581395,25,1,4,30,0.833333333333333,0.0333333333333333,0.133333333333333,0.142857142857143,0.857142857142857,1,0.428571428571429,1,0.857142857142857,7,1,6,7,3,7,6
700,700_2,Dry,Papua New Guinea,773.470588235294,3,2,8,13,0.230769230769231,0.153846153846154,0.615384615384615,0.6,0.2,0.4,0,1,0.4,5,3,1,2,0,5,2
700,700_2,Wet,Papua New Guinea,774.763157894737,18,0,10,28,0.642857142857143,0,0.357142857142857,0.5,1,0.833333333333333,0.666666666666667,0.666666666666667,1,6,3,6,5,4,4,6
871,871_1,Dry,Tanzania,871,24,2,0,26,0.923076923076923,0.0769230769230769,0,1,0.714285714285714,0.714285714285714,0.428571428571429,0.285714285714286,0.571428571428571,7,7,5,5,3,2,4
912,912_1,Wet,Tanzania,912,19,2,0,21,0.904761904761905,0.0952380952380952,0,0.2,1,1,0.6,0.6,0.8,5,1,5,5,3,3,4
950,950_1,Wet,Tanzania,950,16,11,0,27,0.592592592592593,0.407407407407407,0,0.666666666666667,0.833333333333333,1,0.666666666666667,0.666666666666667,0.666666666666667,6,4,5,6,4,4,4
993,993_1,Wet,Tanzania,993,17,5,0,22,0.772727272727273,0.227272727272727,0,1,0.833333333333333,0.5,0.333333333333333,0.333333333333333,0.666666666666667,6,6,5,3,2,2,4
1000,1000_10,Dry,Ecuador,1050,22,8,1,31,0.709677419354839,0.258064516129032,0.032258064516129,0.25,0.75,0.875,0.125,0.875,1,8,2,6,7,1,7,8
1000,1000_10,Wet,Ecuador,1050,15,1,1,17,0.882352941176471,0.0588235294117647,0.0588235294117647,0.166666666666667,0.833333333333333,0.666666666666667,0,1,0.166666666666667,6,1,5,4,0,6,1
1000,1000_20,Dry,Ecuador,1073,22,8,1,31,0.709677419354839,0.258064516129032,0.032258064516129,0.75,0.875,1,0.125,1,0.125,8,6,7,8,1,8,1
1000,1000_20,Wet,Ecuador,1073,13,2,1,16,0.8125,0.125,0.0625,0,0.428571428571429,1,0,0.714285714285714,0.142857142857143,7,0,3,7,0,5,1
1000,1000_30,Dry,Ecuador,1108,25,8,1,34,0.735294117647059,0.235294117647059,0.0294117647058824,0.166666666666667,0.666666666666667,1,0.0833333333333333,0.5,0.416666666666667,12,2,8,12,1,6,5
1000,1000_30,Wet,Ecuador,1108,10,0,0,10,1,0,0,0,0.75,0.25,0.25,1,0.25,4,0,3,1,1,4,1
1130,1130_1,Dry,Tanzania,1130,8,8,0,16,0.5,0.5,0,0.4,1,0.4,0.4,0.4,0.6,5,2,5,2,2,2,3
1200,1200_1,Dry,Papua New Guinea,1164.63636363636,14,0,4,18,0.777777777777778,0,0.222222222222222,0,1,0.333333333333333,0.5,0.666666666666667,0.5,6,0,6,2,3,4,3
1200,1200_1,Wet,Papua New Guinea,1164.35135135135,17,0,10,27,0.62962962962963,0,0.37037037037037,0.714285714285714,0.571428571428571,1,0.571428571428571,0.714285714285714,0.285714285714286,7,5,4,7,4,5,2
1200,1200_2,Dry,Papua New Guinea,1088.22580645161,6,0,5,11,0.545454545454545,0,0.454545454545455,0,1,0,0,1,0.2,5,0,5,0,0,5,1
1200,1200_2,Wet,Papua New Guinea,1089.25641025641,25,0,5,30,0.833333333333333,0,0.166666666666667,0.666666666666667,0.666666666666667,0.222222222222222,0.111111111111111,1,0.666666666666667,9,6,6,2,1,9,6
1500,1500_10,Dry,Ecuador,1469,16,4,0,20,0.8,0.2,0,0.25,1,1,1,0.75,1,4,1,4,4,4,3,4
1500,1500_10,Wet,Ecuador,1469,13,0,0,13,1,0,0,0,0.5,0.333333333333333,0,1,0.333333333333333,6,0,3,2,0,6,2
1500,1500_20,Dry,Ecuador,1544,18,5,0,23,0.782608695652174,0.217391304347826,0,0.5,1,0.666666666666667,0.166666666666667,0.833333333333333,0.666666666666667,6,3,6,4,1,5,4
1500,1500_20,Wet,Ecuador,1544,11,1,0,12,0.916666666666667,0.0833333333333333,0,0,1,0.75,0,0.5,0.75,4,0,4,3,0,2,3
1500,1500_30,Dry,Ecuador,1518,16,5,0,21,0.761904761904762,0.238095238095238,0,0,0.714285714285714,0.285714285714286,0.142857142857143,0.857142857142857,1,7,0,5,2,1,6,7
1500,1500_30,Wet,Ecuador,1518,12,0,1,13,0.923076923076923,0,0.0769230769230769,0,1,0.5,0.25,0.5,1,4,0,4,2,1,2,4
1620,1620_1,Wet,Tanzania,1620,0,0,19,19,0,0,1,1,0.75,1,0.75,1,0.25,4,4,3,4,3,4,1
1650,1650_1,Wet,Tanzania,1650,3,0,0,3,1,0,0,0,0,0.5,0,1,0,2,0,0,1,0,2,0
1700,1700_1,Dry,Papua New Guinea,1636,8,0,4,12,0.666666666666667,0,0.333333333333333,0.4,1,0.4,0,0.4,0.2,5,2,5,2,0,2,1
1700,1700_1,Wet,Papua New Guinea,1639.3125,15,0,5,20,0.75,0,0.25,0.4,0.6,0.4,0.6,1,1,5,2,3,2,3,5,5
1700,1700_2,Dry,Papua New Guinea,1840.2,3,0,2,5,0.6,0,0.4,0.5,0,1,0.5,0,0.5,2,1,0,2,1,0,1
1700,1700_2,Wet,Papua New Guinea,1840.09677419355,8,0,6,14,0.571428571428571,0,0.428571428571429,0.75,0,1,0.25,1,0.5,4,3,0,4,1,4,2
1920,1920_1,Dry,Tanzania,1920,4,0,22,26,0.153846153846154,0,0.846153846153846,0.25,0.875,1,0,0.625,0.5,8,2,7,8,0,5,4
2000,2000_10,Dry,Ecuador,2024,8,0,2,10,0.8,0,0.2,1,0,0.5,0,0.5,0.5,4,4,0,2,0,2,2
2000,2000_10,Wet,Ecuador,2024,11,0,6,17,0.647058823529412,0,0.352941176470588,0,0.666666666666667,1,0.166666666666667,1,0,6,0,4,6,1,6,0
2000,2000_20,Dry,Ecuador,2053,4,0,1,5,0.8,0,0.2,1,0,0.333333333333333,0,0.333333333333333,0,3,3,0,1,0,1,0
2000,2000_20,Wet,Ecuador,2053,4,0,0,4,1,0,0,0,1,0.5,0,0,0.5,2,0,2,1,0,0,1
2000,2000_30,Dry,Ecuador,1920,8,1,1,10,0.8,0.1,0.1,1,0.25,0.25,0,0.75,0.25,4,4,1,1,0,3,1
2000,2000_30,Wet,Ecuador,1920,12,0,3,15,0.8,0,0.2,0,1,0.666666666666667,0.166666666666667,0.5,0.166666666666667,6,0,6,4,1,3,1
2020,2020_1,Dry,Tanzania,2020,3,0,2,5,0.6,0,0.4,0,1,0.5,0,1,0,2,0,2,1,0,2,0
2040,2040_1,Wet,Tanzania,2040,2,0,2,4,0.5,0,0.5,0,1,0.5,0,0,0.5,2,0,2,1,0,0,1
2200,2200_1,Dry,Papua New Guinea,2397.8,5,0,0,5,1,0,0,0,0.5,1,0,0.5,0.5,2,0,1,2,0,1,1
2200,2200_1,Wet,Papua New Guinea,2397.63333333333,0,0,7,7,0,0,1,0.333333333333333,0.666666666666667,0.333333333333333,0,1,0,3,1,2,1,0,3,0
2200,2200_2,Dry,Papua New Guinea,2339.75757575758,4,0,4,8,0.5,0,0.5,0,1,0.666666666666667,0.333333333333333,0,0.666666666666667,3,0,3,2,1,0,2
2200,2200_2,Wet,Papua New Guinea,2339.43333333333,2,0,6,8,0.25,0,0.75,0.5,1,1,0,0.5,1,2,1,2,2,0,1,2
2500,2500_10,Dry,Ecuador,2452,6,0,0,6,1,0,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,1,3,1,0,1,0,1,3
2500,2500_10,Wet,Ecuador,2452,5,0,2,7,0.714285714285714,0,0.285714285714286,0.333333333333333,1,0,1,0,0,3,1,3,0,3,0,0
2500,2500_20,Dry,Ecuador,2449,9,0,4,13,0.692307692307692,0,0.307692307692308,0.25,0.75,1,0.25,0,1,4,1,3,4,1,0,4
2500,2500_20,Wet,Ecuador,2449,5,0,3,8,0.625,0,0.375,0.333333333333333,1,1,0,0.333333333333333,0,3,1,3,3,0,1,0
2500,2500_30,Dry,Ecuador,2446,2,0,2,4,0.5,0,0.5,0,0.5,0.5,0,0,1,2,0,1,1,0,0,2
